Category,Iteration,ProgramReportedTime(s),MeasuredTime(s),RoundTripTime(s)
Point,1,0.003484,636.055382151,0.013484
Point,2,0.003301,634.077429164,0.013301
Point,3,0.003381,638.351573194,0.013381
Range,4,0.003288,634.065676488,0.013288
Range,5,0.003286,635.825190797,0.013286
Range,6,0.003524,636.493477071,0.013524
Join,7,0.065933,630.075740922,0.075933
Join,8,0.077510,640.525839126,0.087510
Join,9,0.093345,642.731234967,0.103345
